id,title,artist,spotify_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,date,decade,weeks_at_1,consecutive
UNCHAINED_MELODY__JIMMY_YOUNG,UNCHAINED MELODY,JIMMY YOUNG,1fMt3zLdhNstzY9b40aoSd,0.529,0.348,8,-10.605,0.0289,0.861,0.000938,0.103,0.635,108.503,162600,4,24/06/55,1950,3,TRUE
DREAMBOAT__ALMA_COGAN,DREAMBOAT,ALMA COGAN,0IrWAF44fR05kVifPolvP5,0.652,0.302,5,-11.502,0.138,0.837,0,0.344,0.862,172.215,107333,4,15/07/55,1950,2,TRUE
ROSE_MARIE__SLIM_WHITMAN,ROSE MARIE,SLIM WHITMAN,6wh6rkdJeDZqE5XLOP5QMz,0.497,0.135,2,-8.797,0.0301,0.919,0.000475,0.104,0.188,128.748,140173,4,29/07/55,1950,11,TRUE
THE_MAN_FROM_LARAMIE__JIMMY_YOUNG,THE MAN FROM LARAMIE,JIMMY YOUNG,1tdxyz5X5ZDR5wWv1EVfHr,0.808,0.419,8,-6.01,0.0353,0.359,0,0.12,0.723,87.012,144533,4,14/10/55,1950,4,TRUE
HERNANDO'S_HIDEAWAY__JOHNSTON_BROTHERS,HERNANDO'S HIDEAWAY,JOHNSTON BROTHERS,31FHgQydaOLN9VyEhzSe5w,0.733,0.311,7,-12.296,0.137,0.274,0.00000385,0.294,0.654,118.914,154459,4,11/11/55,1950,2,TRUE
ROCK_AROUND_THE_CLOCK__BILL_HALEY_&_HIS_COMETS,ROCK AROUND THE CLOCK,BILL HALEY & HIS COMETS,34AmZ4PMz9iNZVp9AMIGZj,0.609,0.526,9,-13.106,0.43,0.139,0,0.0946,0.931,173.179,137000,4,25/11/55,1950,6,FALSE
CHRISTMAS_ALPHABET__DICKIE_VALENTINE,CHRISTMAS ALPHABET,DICKIE VALENTINE,5WMSaM5QwhcwadtTh16cOE,0.643,0.138,0,-11.97,0.0425,0.858,0,0.271,0.477,87.134,124893,4,16/12/55,1950,3,TRUE
SIXTEEN_TONS__TENNESSEE_ERNIE_FORD,SIXTEEN TONS,TENNESSEE ERNIE FORD,3P6OwCX7Ofiaaqtvujb6i5,0.693,0.324,11,-15.085,0.205,0.796,0,0.246,0.393,144.14,158307,4,20/01/56,1950,2,TRUE
MEMORIES_ARE_MADE_OF_THIS__DEAN_MARTIN,MEMORIES ARE MADE OF THIS,DEAN MARTIN,4h0igWYayzteBtSNpWYQ9h,0.611,0.179,4,-15.977,0.0488,0.918,0,0.109,0.53,133.073,138080,4,17/02/56,1950,4,TRUE
IT'S_ALMOST_TOMORROW__DREAM_WEAVERS,IT'S ALMOST TOMORROW,DREAM WEAVERS,0tWlbyGpVfzo0v2owxsLKt,0.43,0.073,0,-17.86,0.0309,0.909,0,0.12,0.258,80.594,168542,3,16/03/56,1950,3,FALSE
ROCK_AND_ROLL_WALTZ__KAY_STARR,ROCK AND ROLL WALTZ,KAY STARR,0QIroTbpqtJVCin6fqEWeU,0.479,0.63,5,-0.675,0.03,0.852,0,0.287,0.699,104.946,181286,3,30/03/56,1950,2,TRUE
POOR_PEOPLE_OF_PARIS__WINIFRED_ATWELL,POOR PEOPLE OF PARIS,WINIFRED ATWELL,3VLp7dwKRjxsEnuZvtnv6U,0.55,0.675,7,-12.57,0.0367,0.542,0.846,0.351,0.96,121.707,118984,4,13/04/56,1950,3,TRUE
NO_OTHER_LOVE__RONNIE_HILTON,NO OTHER LOVE,RONNIE HILTON,53k9dt9jLyPJyF0dl8SLyR,0.344,0.281,4,-10.318,0.0268,0.886,0.00000125,0.124,0.189,92.369,188333,4,04/05/56,1950,6,TRUE
I'LL_BE_HOME__PAT_BOONE,I'LL BE HOME,PAT BOONE,4ml5vgdA30hEiKLiWS15iz,0.421,0.228,8,-12.072,0.0323,0.887,0,0.244,0.282,73.611,181200,4,15/06/56,1950,5,TRUE
WHY_DO_FOOLS_FALL_IN_LOVE__TEENAGERS_FEATURING_FRANKIE_LYMON,WHY DO FOOLS FALL IN LOVE,TEENAGERS FEATURING FRANKIE LYMON,4yWLlbVlv4quwz10wHvfoO,0.544,0.243,11,-19.707,0.0418,0.582,0.000504,0.141,0.777,80.92,151276,4,20/07/56,1950,3,TRUE
WHATEVER_WILL_BE_WILL_BE__DORIS_DAY,WHATEVER WILL BE WILL BE,DORIS DAY,1XQdwgnUoHTdeAjEIYONKq,0.4,0.338,9,-12.69,0.0418,0.854,0,0.725,0.706,175.575,125027,4,10/08/56,1950,6,TRUE
LAY_DOWN_YOUR_ARMS__ANNE_SHELTON,LAY DOWN YOUR ARMS,ANNE SHELTON,3Oyp7KU5XD9J4yBrhb5L7o,0.705,0.383,1,-10.869,0.0384,0.817,0,0.534,0.855,110.767,176093,4,21/09/56,1950,4,TRUE
A_WOMAN_IN_LOVE__FRANKIE_LAINE,A WOMAN IN LOVE,FRANKIE LAINE,428F8FMidC2u1ZHXNaeMuK,0.326,0.555,9,-6.652,0.0349,0.456,0.0000769,0.258,0.649,111.229,140360,4,19/10/56,1950,4,TRUE
JUST_WALKIN'_IN_THE_RAIN__JOHNNIE_RAY,JUST WALKIN' IN THE RAIN,JOHNNIE RAY,6zahbizoDqcpCbXkDhe4Er,0.638,0.188,5,-16.788,0.0363,0.87,0,0.0739,0.691,97.189,157240,4,16/11/56,1950,7,TRUE
SINGING_THE_BLUES__GUY_MITCHELL,SINGING THE BLUES,GUY MITCHELL,01v6CQnIN1u28kWU3fmgBr,0.637,0.614,4,-5.444,0.0474,0.605,0.0000768,0.143,0.646,140.758,145773,4,04/01/57,1950,3,FALSE
THE_GARDEN_OF_EDEN__FRANKIE_VAUGHAN,THE GARDEN OF EDEN,FRANKIE VAUGHAN,11OjBqL7xcF2aCxJohoAop,0.623,0.573,3,-8.412,0.0635,0.602,0,0.221,0.901,116.296,151773,3,25/01/57,1950,4,TRUE
YOUNG_LOVE__TAB_HUNTER,YOUNG LOVE,TAB HUNTER,0fxGmAXY63q33mpOJdZlZ2,0.497,0.271,0,-13.152,0.0304,0.869,0.000026,0.0941,0.468,108.265,138627,4,22/02/57,1950,7,TRUE
CUMBERLAND_GAP__LONNIE_DONEGAN,CUMBERLAND GAP,LONNIE DONEGAN,12fHBi1ud5Lc0dTi9vdaE7,0.68,0.877,8,-6.816,0.0367,0.478,0,0.156,0.907,136.099,117773,4,12/04/57,1950,5,TRUE
ROCK-A-BILLY__GUY_MITCHELL,ROCK-A-BILLY,GUY MITCHELL,1cBYO5tGZBZZciPcPPbe3Y,0.494,0.886,2,-3.422,0.049,0.687,0,0.211,0.932,179.306,134133,4,17/05/57,1950,1,TRUE
BUTTERFLY__ANDY_WILLIAMS,BUTTERFLY,ANDY WILLIAMS,6bgan8gEPYvpfOZGULtBgW,0.759,0.547,5,-7.276,0.0434,0.19,0,0.204,0.875,127.258,142107,4,24/05/57,1950,2,TRUE
YES_TONIGHT_JOSEPHINE__JOHNNIE_RAY,YES TONIGHT JOSEPHINE,JOHNNIE RAY,2GmyGiMxt8IG0qcjEwjh4s,0.503,0.891,4,-8.041,0.0709,0.709,0,0.11,0.463,169.844,151853,4,07/06/57,1950,3,TRUE
GAMBLIN'_MAN/PUTTING_ON_THE_STYLE__LONNIE_DONEGAN,GAMBLIN' MAN,LONNIE DONEGAN,4lOqlG94QZMGKcQ9HfQuML,0.478,0.922,7,-5.787,0.375,0.698,0.00000312,0.694,0.557,135.196,199840,4,28/06/57,1950,2,TRUE
ALL_SHOOK_UP__ELVIS_PRESLEY_WITH_THE_JORDANAIRES,ALL SHOOK UP,ELVIS PRESLEY,5ueyLj6e6oVaTY0KQ6yLaA,0.624,0.468,10,-12.162,0.132,0.881,0.00000635,0.144,0.957,74.139,117080,4,12/07/57,1950,7,TRUE
DIANA__PAUL_ANKA,DIANA,PAUL ANKA,4chlGZQX5uPYpRLp3NezmX,0.57,0.408,7,-9.932,0.0295,0.341,0,0.549,0.959,143.249,138360,4,30/08/57,1950,9,TRUE
THAT'LL_BE_THE_DAY__CRICKETS,THAT'LL BE THE DAY,CRICKETS,6MIC4Z7pSY5oKLmgzdyK1z,0.645,0.4,9,-13.56,0.0392,0.705,0,0.282,0.86,126.66,136000,4,01/11/57,1950,3,TRUE
SINGING_THE_BLUES__TOMMY_STEELE_&_THE_STEELMEN,SINGING THE BLUES,TOMMY STEELE & THE STEELMEN,7FxEiFOep6BU26dooH0O6F,0.697,0.557,5,-6.711,0.0656,0.434,0,0.174,0.745,142.73,142720,4,11/01/57,1950,1,TRUE
MARY'S_BOY_CHILD__HARRY_BELAFONTE,MARY'S BOY CHILD,HARRY BELAFONTE,0YTchOzpVRhIo7oWARhNZs,0.395,0.13,10,-15.411,0.0377,0.908,0.000432,0.102,0.417,92.231,181693,4,22/11/57,1950,7,TRUE
GREAT_BALLS_OF_FIRE__JERRY_LEE_LEWIS,GREAT BALLS OF FIRE,JERRY LEE LEWIS,7xe3EQCvXnx6Q0zs41Y65n,0.592,0.627,10,-10.14,0.0662,0.55,0,0.43,0.891,79.567,111240,4,10/01/58,1950,2,TRUE
